date,place,anti_air,bunkers,ammunition_storage,apc,artillery,comms,other_armoured,other_building,other_missile,other_vehicle,helicopter,aa_gun,rocket_launcher,sams,tanks,garage,others,total
Date,Place,Air defence missile site/anti-aircraft facility,Bunkers,Ammunition storage sites,Armoured Personnel Carrier,Artillery vehicles / Self propelled artillery piece,Communications or Command & Control Facility / Radar,Other armoured vehicle,Other building,Other missile,Other vehicle,Helicopter,Anti Aircraft Gun,Rocket launcher,Surface to air missile launcher or facility ,Tanks,Vehicle storage building,OTHER,TOTAL 
09/08/2011,Brega,,,,,,,4,1,,,,,3,,1,,,9
09/08/2011,Tripoli,,,,,,,,,,,,9,,8,,,,17
09/08/2011,Waddan,,,1,,,,,,,,,,,,,,,1
09/08/2011,Zlitan,,,,,,1,,,,,,,,,,,,1
10/08/2011,Waddan,,,1,,,,,,,,,,,,,,,1
10/08/2011,Brega,,,,,,,2,,,,,,,,,,,2
10/08/2011,Gharyan,,,,,,,1,,,,,1,,,,,,2
10/08/2011,Tripoli,,,,,,,3,,1,,,,,,,,,4
10/08/2011,Sebha,,1,,,,2,,1,,,,,,,,,,4
10/08/2011,Tawurgha,,,,,,3,,2,,,,,,,,,,5
10/08/2011,Zlitan,,,,,,1,,1,,,,,,,,,,2
10/08/2011,Bir Al Ghanem,,,,,,,,,,,,,1,,,,,1
11/08/2011,Waddan,,,1,,,,,,,,,,,,,,,1
11/08/2011,Brega,,,,,,,1,,1,,,,1,,,,,3
11/08/2011,Bir Al Ghanem,,,,,,,2,,,,,,,,,,,2
11/08/2011,Tripoli,,,,,,,,,,,,,,5,,,,5
11/08/2011,Sirte,,,,,,1,,,,,,,,,,,,1
11/08/2011,Zlitan,,,,,,1,,,,,,,,,,,,1
12/08/2011,Waddan,,,1,,,,,,,,,,,,,,,1
12/08/2011,Brega,,,,,,,2,,,,,,,,,,,2
12/08/2011,Bir Al Ghanam,,,,,,,5,,,,,2,,,,,,7
12/08/2011,Tripoli,,,,,,,,1,1,,,,,,,,,2
12/08/2011,Misrata,,,1,,,,,1,,,,,,,,,,2
12/08/2011,Zlitan,,,,,,,,,,,,,,,,1,,1
12/08/2011,Al Khums,,,1,,,,,,,,,,,,,,,1
13/08/2011,Brega,,,,,,,,,,7,,,1,,,,,8
13/08/2011,Tripoli,,,,,,,,,,1,,,,,,,,1
13/08/2011,Waddan,,,1,,,,,,,,,,,,,,,1
13/08/2011,Zlitan,,,,,,,,,,2,,,,,,,,2
13/08/2011,Bir Al Ghanam,,,,,,,,,,1,,,,,,,,1
13/08/2011,Misrata,,,,,,,,,,,,4,,,,,,4
13/08/2011,Zawiyah,,,,,,,,,,,,,,,2,,,2
13/08/2011,Tawurgha,,,,,,,,,,2,,1,,,,,,3
14/08/2011,Az Zawiyah,,,,,,,,,,,,1,,,,,,1
14/08/2011,Gharyan,,,,,,,,1,,,,,,,,,,1
14/08/2011,Tripoli,,,,,,3,,,,,,,,12,,,,15
14/08/2011,Zlitan,,,,,,1,1,4,1,,,,,,,,,7
15/08/2011,Az Zawiyah,,,,,,,1,,,1,,,,,3,,,5
15/08/2011,Al Khums,,,,,,,,1,,,,,,,,,,1
15/08/2011,Brega,,,,,,,,,,,,,4,,,,,4
15/08/2011,Tripoli,,,,,,1,,,,,,,,3,2,,,6
15/08/2011,Misrata,,,,,,,,,,,,,1,,,,,1
15/08/2011,Waddan,,,1,,,,,,,,,,,,,,,1
15/08/2011,Zlitan,,,,,,,,,,,,,2,1,,,,3
16/08/2011,NO LOCATIONS GIVEN BY NATO,,,,,,,,,,,,,,,,,,0
17/08/2011,Brega,,,,,,,,,,,,,3,,2,,,5
17/08/2011,Az Zawiyah,,,,,,,2,,,1,,,,,,,,3
17/08/2011,Badr,,,,,,,4,,,,,,,,,,,4
17/08/2011,Tripoli,,,,,,1,,1,2,,,,,5,,,,9
17/08/2011,Waddan,,,2,,,,,,,,,,,,,,,2
17/08/2011,Zlitan,,,,,,,,,,,,,,,2,,,2
18/08/2011,Az Zawiyah,,,,,,1,2,,,,,,,,5,,,8
18/08/2011,Tripoli,,,,,,,,4,,,,,,1,,,,5
19/08/2011,Az Zawiyah,,,,,,,,,1,,,,,,,,,1
19/08/2011,Tripoli,,,,,,4,,9,,,,,,,1,,,14
19/08/2011,Zlitan,,,,,,,,,,1,,,,,1,,,2
20/08/2011,Tripoli,,,,,,4,4,4,1,,,,2,7,,,,22
20/08/2011,Sirte,,,,,,1,,,,,,,,,,,,1
20/08/2011,Brega,,,,,,,,,,,,,2,,,,1,3
20/08/2011,Gharyan,,,,,,,1,,,,,1,,,,,,2
20/08/2011,Zlitan,,,,,,,,,,,,,,1,,,,1
21/08/2011,Tripoli,,,,,,5,2,1,,,,,,9,1,,,18
21/08/2011,Bin Ghashir,,,,,,1,,,,,,,,,,,,1
21/08/2011,Al-Aziziyah,,,,,,,,,,,,,,5,,,,5
22/08/2011,Brega,,,,,,,,,,,,,2,,,,,2
23/08/2011,Tripoli,,,,,,1,2,,,2,,,,3,,,,8
23/08/2011,Ras Lanuf,,,,,,,3,,,,,,3,,,,,6
23/08/2011,Zuwarah,,,,,,,3,1,,2,,,,,2,,,8
24/08/2011,Tripoli,,,,,,1,,2,,1,,2,1,1,,,,8
24/08/2011,Sirte,,,,,,,,,,2,,,,,,,,2
24/08/2011,Okba,,,,,,,,,,,,,,1,,,,1
24/08/2011,Bani Walid,,,,,,,,,,,,,,,,,1,1
25/08/2011,Tripoli,,,,,,1,,,,,,,,2,,,,3
25/08/2011,Sirte,,,,,,1,,,,29,,,,,,,,30
26/08/2011,Tripoli,,,,,,,,,,,,,,1,,1,2,4
26/08/2011,Sirte,,,,,,,1,2,,14,,,,,,,2,19
26/08/2011,Ras Lanuf,,,,,,,,,,,,,2,,,,,2
26/08/2011,El Assah,,,,,,,,,,,,,,,1,,,1
26/08/2011,Okba,,,,,,1,,,,,,,,1,,,,2
26/08/2011,Al-Aziziyah,,,,,,2,,,,,,,,1,,,,3
27/08/2011,Tripoli,,,,,,,,,,,,,,1,,,,1
27/08/2011,Sirte,,,,,,,,,,1,,,,,,,,1
27/08/2011,Bani Walid,,,,,,,,,,,,,,,,,1,1
27/08/2011,Al-Aziziyah,,,,,,,,,,,,,,1,,,,1
28/08/2011,Waddan,,,,,,,,,,2,,1,1,,,,,4
28/08/2011,Sirte,,,,,,5,,,,3,,,,2,,,20,30
28/08/2011,Ras Lanuf,,,,,1,,,,,1,,,5,,,,,7
29/08/2011,Sirte,,,,,,8,,,,24,,,,1,,,2,35
29/08/2011,Bani Walid,,,1,,,2,,,,,,,,,,,,3
29/08/2011,Hun,5,,,,,1,,,,,,1,1,,,,,8
30/08/2011,Sirte,,,,,,3,,,,12,,,,,3,,1,19
30/08/2011,Bani Walid,,,1,,,,,,3,,,,,,,,2,6
30/08/2011,Hun,5,,,,1,1,,,,,,,2,,2,,,11
31/08/2011,Sirte,,,,,,1,,,,1,,,1,9,1,,,13
31/08/2011,Bani Walid,,,1,,,1,,,,,,,,,,,,2
31/08/2011,Hun,,,,,,1,,,,1,,,,,,,,2
01/09/2011,Sirte,,,,,,1,1,,,,,,,10,,,1,13
01/09/2011,Bani Walid,,,1,,,,1,,,,,,,,,,,2
01/09/2011,Waddan,2,,,,,,,,,,,2,,,,,2,6
