Place	County	Nearby Town	Size(acres)	Littoral zone(acres)	Max depth(ft)	Water Clarity(ft)	State	Country
Lake Floyd	Becker	Detroit Lakes	1212	861	34	12	Minnesota	US
Lake Foot	Kandiyohi	Willmar	694	663	24	3	Minnesota	US
Lake Forest Lake	Washington	Forest Lake	2251	1531	37	5.1	Minnesota	US
Lake Forget-Me-Not	Becker	Lake Park	361	361	7	0.8	Minnesota	US
Lake Fountain	Freeborn	Albert Lea	534	534	14	2	Minnesota	US
Lake Four Mile	Cook	Tofte	572	559	19.5	7.5	Minnesota	US
Lake Fox	Itasca	Marcell	280	193	75	12	Minnesota	US
Lake Fox	Murray	Currie	174	174	8.5	1.2	Minnesota	US
Lake Fox	Pine	Willow River	239	239	15	2.5	Minnesota	US
Lake Fox	Rice	Shieldsville	308	139	47	2	Minnesota	US
Lake Fox (East)	Crow Wing	Fifty Lakes	239	101	65	18	Minnesota	US
Lake Fox (West)	Crow Wing	Fifty Lakes	472	138	55	17	Minnesota	US
Lake Frances	Lesueur	Elysian	797	502	60	8.5	Minnesota	US
Lake Francis	Isanti	Isanti	301	301	7	1.4	Minnesota	US
Lake Francis	Meeker	Kingston	921	871	17	6.5	Minnesota	US
Lake Franklin	Otter Tail	Pelican Rapids	1336	749	48	11	Minnesota	US
Lake Franklin	St. Louis	Crane Lake	135	120	18	6.3	Minnesota	US
Lake Freeborn	Douglas	Farwell	241	171	18	4	Minnesota	US
Lake Freeborn	Freeborn	Freeborn	2222	2222	6.7	0.4	Minnesota	US
Lake Fremont	Sherburne	Zimmerman	484	484	8	3.3	Minnesota	US
Lake French	Rice	Faribault	816	397.5	56	14	Minnesota	US
Lake French	Wright	Annanndale	332	156	50	5	Minnesota	US
Lake Frontenac	Hubbard	Becida	204	173	16	6.5	Minnesota	US
Lake Games	Kandiyohi	Sunburg	515	242	42	9.3	Minnesota	US
Lake Garden	Lake	Ely	670	239	55	7	Minnesota	US
Lake Garfield	Hubbard	Laporte	979	521	32	11.2	Minnesota	US
Lake Gegoka	Lake	Isabella	159	159	10	4	Minnesota	US
Lake Geneva	Douglas	Alexandria	631	265	63	9	Minnesota	US
Lake Geneva	Freeborn	Geneva	2214	2214	8	0.2	Minnesota	US
Lake George	Anoka	St Francis	495	391	32	13.75	Minnesota	US
Lake George	Cass	Outing	720	711	20	4.5	Minnesota	US
Lake George	Hubbard	Lake George	798	453	29	9	Minnesota	US
Lake George	Kandiyohi	Spicer	231	112	34	15.5	Minnesota	US
Lake German	Lesueur	Elysian	899	521	51	5	Minnesota	US
Lake Gervais	Ramsey	Little Canada	234	91	41	6.5	Minnesota	US
Lake Gilbert	Crow Wing	Brainerd	369	226	45	16	Minnesota	US
Lake Gilbert	Douglas	Holmes City	204	190	17	2	Minnesota	US
Lake Gilchrist	Pope	Sedan	321	206	24	4.2	Minnesota	US
Lake Gilfillian	Ramsey	White Bear Lake	110	110	9	n/a	Minnesota	US
Lake Gilstad	Beltrami	Blackduck	294	112	55	8.8	Minnesota	US
Lake Girl	Cass	Longville	406	272	81	10	Minnesota	US
Lake Golden	Anoka	Circle Pines	57.2	51.3	25	5	Minnesota	US
Lake Goose	Chisago	Stark	754	370	55	5.8	Minnesota	US
Lake Goose	Goodhue	Red Wing	157	157	5.7	N/A	Minnesota	US
Lake Goose Prairie	Clay	Hitterdahl	122	N/A	5	N/A	Minnesota	US
Lake Gorman	Lesueur	Le Center	499	499	14	6	Minnesota	US
Lake Grace	Hubbard	Bemidji	887	340	42	10.5	Minnesota	US
Lake Graham	Otter Tail	Frazee	210	126	34	10.8	Minnesota	US
Lake Grand	St. Louis	Twig	1592	1510	24	12	Minnesota	US
Lake Grand	Stearns	Cold Spring	655	235	34	4	Minnesota	US
Lake Granite	Wright	Annanndale	339	108	34	6	Minnesota	US
Lake Grant	Beltrami	Wilton	208	85	92	11	Minnesota	US
Lake Grassy	St. Louis	Ely	213	213	15	8	Minnesota	US
Lake Grave	Itasca	Marcell	500	304	39	9.5	Minnesota	US
Lake Great Northern	Stearns	Cold Spring	356	355	19	n/a	Minnesota	US
Lake Green	Chisago	Chisago City	1714	1228	32	7	Minnesota	US
Lake Green	Isanti	Princeton	802	357	28	3	Minnesota	US
Lake Green	Kandiyohi	Spicer	5406	2035	110	13.2	Minnesota	US
Lake Greenleaf	Lesueur	Montgomery	293	261	18	N/A	Minnesota	US
Lake Greenleaf	Meeker	Litchfield	224	180	18	2.4	Minnesota	US
Lake Greenstone	Lake	Ely	345	131	72	12	Minnesota	US
Lake Greenwood	Cook	Grand Marais	2021	537	112	14.5	Minnesota	US
Lake Greenwood	Lake	Isabella	1300	1300	7	3.2	Minnesota	US
Lake Grindstone	Pine	Sandstone	526	71	153	8	Minnesota	US
Lake Grove	Pope	Sedan	379	265	31	18	Minnesota	US
Lake Gun	Aitkin	Palisade	730	292	44	7.5	Minnesota	US
Lake Gunderson	Itasca	Talmoon	146	47	41	13	Minnesota	US
Lake Gull	Cass	Nisswa	9418	2825	80	13	Minnesota	US
Lake Gunn	Itasca	Marcell	342	142	39	9	Minnesota	US
Lake Half Moon	St. Louis	Eveleth	153	58	40	8.5	Minnesota	US
Lake Ham	Anoka	Ham Lake	174	160	22	6.8	Minnesota	US
Lake Ham	Anoka	Blaine	0.4	N/A	N/A	N/A	Minnesota	US
Lake Hammal	Aitkin	Aitkin	374	262	44	10	Minnesota	US
Lake Hancock	Otter Tail	Battle Lake	182	109	23	5	Minnesota	US
Lake Hand	Cass	Backus	269	140	57	12	Minnesota	US
Lake Hanging Horn	Carlton	Barnum	408	86	80	8.8	Minnesota	US
Lake Hanging Kettle	Aitkin	Aitkin	302	142	35	n/a	Minnesota	US
Lake Hanska	Brown	Hanska	1773	1773	16	N/A	Minnesota	US
Lake Harriet	Hennepin	Minneapolis	335	85	87	12	Minnesota	US
Lake Harriet	Lake	Isabella	265	194	37	15	Minnesota	US
Lake Hart	Hubbard	Guthrie	224	224	13	12	Minnesota	US
Lake Hart	Itasca	Pengilly	325	75	55	12	Minnesota	US
Lake Hartley	Itasca	Nashwauk	281	98	49	10	Minnesota	US
Lake Hatch	Itasca	Marcell	243	49	88	11	Minnesota	US
Lake Hattie	Hubbard	Lake George	259	77	39	8.5	Minnesota	US
Lake Hattie	Stevens	Alberta	477	477	9	3.2	Minnesota	US
Lake Hawks Nest	Lincoln	Ivanhoe	282	282	7.3	1	Minnesota	US
Lake Hay	Carlton	Wrenshal	215	214	16	n/a	Minnesota	US
Lake Hay	Cass	Backus	350	179	56	11.6	Minnesota	US
Lake Hay (Lower)	Crow Wing	Jenkins	685	215	100	11	Minnesota	US
Lake Hay (Upper)	Crow Wing	Jenkins	581	184	42	5	Minnesota	US
Lake Head	Otter Tail	Richville	249	137	26	6.5	Minnesota	US
Lake Heart	Clearwater	Zerkel	206	54	55	24.1	Minnesota	US
Lake Height of Land	Becker	Detroit Lakes	3520	3190	21	7.5	Minnesota	US
Lake Heilberger	Otter Tail	Erhard	224	97	47	12.6	Minnesota	US
Lake Henderson	Kandyohi	Spicer	72	72	69	8	Minnesota	US
Lake Hendricks	Lincoln	Hendricks	1557	1557	12	2.25	Minnesota	US
Lake Hennepin	Hubbard	Becida	407	407	14	9.2	Minnesota	US
Lake Heron	Jackson	Lakefield	2845	2845	5	N/A	Minnesota	US
Lake Hiawatha	Hennepin	Minneapolis	53.5	25	33	5	Minnesota	US
Lake Hill	Aitkin	Hill City	907	354	48	7.6	Minnesota	US
Lake Hinds	Hubbard	Park Rapids	294	221	36	15	Minnesota	US
Lake Holloway (Bass)	Itasca	Wirt	193	69	40	14	Minnesota	US
Lake Holman	Itasca	Bovey	146	78	65	16	Minnesota	US
Lake Home	Norman	Ada	NA	NA	NA	NA	Minnesota	US
Lake Homer	Cook	Lutsen	443	400	22	6.4	Minnesota	US
Lake Hook	McLeod	Hutchinson	327	324	18	1.3	Minnesota	US
Lake Hope	Meeker	Grove City	250	250	10	0.6	Minnesota	US
Lake Horsehoe	Cass	Backus	225	80	51	11	Minnesota	US
Lake Horseshoe	Chisago	Harris	197	112	53	6	Minnesota	US
Lake Horseshoe	Hubbard	Laporte	253	143	52	13.5	Minnesota	US
Lake Horseshoe	Itasca	Marcell	270	241	25	10.5	Minnesota	US
Lake Horseshoe	Lesueur	Waterville	393	N/A	26	2.2	Minnesota	US
Lake Horseshoe	Stearns	Richmond	550	275	57	3	Minnesota	US
Lake Howard	Wright	Howard Lake	717	318	39	3.5	Minnesota	US
Lake Hubert	Crow Wing	Nisswa	1294	465	83	14	Minnesota	US
Lake Hungry	Becker	Frazee	240	180	60	9.7	Minnesota	US
Lake Ice Cracking	Becker	Ponsford	331	80	73	14.2	Minnesota	US
Lake Ida	Becker	Lake Park	580	435	20	7	Minnesota	US
Lake Ida	Douglas	Alexandria	4289	1673	106	11	Minnesota	US
Lake Ida	Wright	Monticello	231	109	60	15.5	Minnesota	US
Lake Ina	Douglas	Melby	202	105	48	3	Minnesota	US
Lake Independence	Hennepin	Maple Plain	844	425	58	3	Minnesota	US
Lake Indian	Wright	Silver Creek	146	65	31	3.5	Minnesota	US
Lake Inguadona	Cass	Longville	1116	565	79	12	Minnesota	US
Lake Irene	Douglas	Miltona	630	224	44	5.5	Minnesota	US
Lake Irving	Beltrami	Bemidji	613	546	19	4	Minnesota	US
Lake Isabella	Lake	Isabella	1516	1165	19	5	Minnesota	US
Lake Island	Aitkin	Tamarack	243	194	25	6.5	Minnesota	US
Lake Island	Becker	Snellman	1142	457	38	10.5	Minnesota	US
Lake Island	Hubbard	Park Rapids	544	179	65	12	Minnesota	US
Lake Island	Itasca	Northome	3088	1195	35	7.5	Minnesota	US
Lake Island	Mahnomen	Lengby	611	331	43	3.5	Minnesota	US
Lake Island	Pine	Sturgeon Lake	510	267	42	10.1	Minnesota	US
Lake Island	St. Louis	Goodland	227	142	65	14.3	Minnesota	US
Lake Island North	Carlton	Cromwell	101	87	25	5.5	Minnesota	US
Lake Island South	Carlton	Cromwell	281	207	22	4.5	Minnesota	US
Lake Itasca	Clearwater	Lake Itasca	1077	449	40	5	Minnesota	US
Lake Jack the Horse	Itasca	Marcell	383	245	45	12.5	Minnesota	US
Lake Jane	Washington	Lake Elmo	145	104	39	17	Minnesota	US
Lake Janette	St. Louis	Goodland	137	119	55	7.5	Minnesota	US
Lake Jasper	Lake	Ely	154	123	25	14	Minnesota	US
Lake Jay Gould	Itasca	Cohasset	426	292	33	10	Minnesota	US
Lake Jefferson	Le Sueur County	Cleveland	1,141	N/A	37	N/A	Minnesota	US
Lake Jennie	Meeker	Dassel	1056	1056	15	3.5	Minnesota	US
Lake Jessie	Itasca	Talmoon	1753	455	42	8	Minnesota	US
Lake Jewett	Otter Tail	Elizabeth	737	262	75	9	Minnesota	US
Lake Johanna	Pope	Brooten	1584	1584	10	10	Minnesota	US
Lake Johanna	Ramsey	Arden Hills	213	96	43	9.5	Minnesota	US
Lake John	Wright	Annanndale	411	353	28	7.3	Minnesota	US
Lake Johnson	Itasca	Marcell	305	89	51	15	Minnesota	US
Lake Johnson	Itasca	Grand Rapids	492	146	88	13	Minnesota	US
Lake Johnson	Otter Tail	Dalton	338	165	32	6.5	Minnesota	US
Lake Johnson	St. Louis	Ely	465	464	18	3	Minnesota	US
Lake Johnson	St. Louis	Crane Lake	1674	557	88	9	Minnesota	US
Lake Jolly Ann	Otter Tail	Dalton	256	131	89	10.1	Minnesota	US
Lake Josephine	Ramsey	Roseville	118	81	44	6.8	Minnesota	US
Lake Juggler	Becker	Ponsford	365	149	78	17	Minnesota	US
Lake Julia	Beltrami	Puposky	450	167	43	7	Minnesota	US
Lake Julia	Sherburne	Clear Lake	142	136	15	3	Minnesota	US
Lake Kabekona	Hubbard	Laporte	2252	532	133	10.5	Minnesota	US
Lake Kabetogama	St. Louis	Kabetogama	25760	7440	80	n/a	Minnesota	US
Lake Kego	Crow Wing	Fifty Lakes	272	n/a	20	12	Minnesota	US
Lake King	Itasca	Taconite	296	141	23	4	Minnesota	US
Lake Kitchi	Beltrami	Pennington	1785	714	50	8	Minnesota	US
Lake Kjostad	St. Louis	Buyck	397	286	50	6.5	Minnesota	US
Lake Knaus	Stearns	Cold Spring	205	202	20	n/a	Minnesota	US
Lake Knife	Kanabec	Mora	1266	1266	15	2	Minnesota	US
Lake Kohlmeier	Steele	Owatonna	32	32	14	13	Minnesota	US
Lake Koronis	Stearns	Paynesville	3014	1176	132	5.2	Minnesota	US
Lake Kroon	Chisago	Lindstrom	192	150	30	6.2	Minnesota	US
Lake Lac qui Parle	Lac Qui Parle	Milan	5589	5589	15	N/A	Minnesota	US
Lake Lady	Todd	Grey Eagle	207	68	62	10	Minnesota	US
Lake Lady Slipper	Lyon	Cottonwood	247	247	11	1.18	Minnesota	US
Lake Lake of the Isles	Hennepin	Minneapolis	109	89	31	3.9	Minnesota	US
Lake Lake of the Woods	Lake of the Woods	Warroad	950400		36	N/A	Minnesota	US
Lake Langdon	Hennepin	Mound	144	82.7	38	1.5	Minnesota	US
Lake Large Henry	Swift	Appleton	220	N/A	9	N/A	Minnesota	US
Lake Latoka	Douglas	Alexandria	776	155	108	14.5	Minnesota	US
Lake Lawrence	Itasca	Taconite	395	316	32	4.5	Minnesota	US
Lake Le Homme Dieu	Douglas	Alexandria	1744	767	85	8	Minnesota	US
Lake Lee	Clay	Hawley	134	86	36	6	Minnesota	US
Lake Leech	Cass	Walker	111527	57994	150	n/a	Minnesota	US
Lake Leek	Otter Tail	Vergas	609	272	76	11.3	Minnesota	US
Lake Leif	Becker	Audubon	488	316	26	6	Minnesota	US
Lake Leighton	Itasca	Cohasset	229	78	63	14	Minnesota	US
Lake Leora (called Elora)	St. Louis	Cotton	296	110	35	9.7	Minnesota	US
Lake Leven	Pope	Villard	283	161	33	3.5	Minnesota	US
Lake Lewis	Kanabec	Ogilve	220	148	48	5.5	Minnesota	US
Lake Lida (North)	Otter Tail	Pelican Rapids	5564	2380	58	7	Minnesota	US
Lake Lida (South)	Otter Tail	Pelican Rapids	856	356	48	8	Minnesota	US
Lake Lightning	Grant	Wendell	500	500	11	2.5	Minnesota	US
Lake Lime	Murray	Avoca	338	338	7	0.8	Minnesota	US
Lake Limestone	Wright	Clearwater	188	101	34	8.3	Minnesota	US
Lake Lind	Cass	Backus	377	249	27	10	Minnesota	US
Lake Lindstrom (North)	Chisago	Lindstrom	137	55	29	3.5	Minnesota	US
Lake Lindstrom (South)	Chisago	Lindstrom	499	208	34	n/a	Minnesota	US
Lake Linka	Pope	Sedan	197	78	50	12.5	Minnesota	US
Lake Linn	Chisago	Lindstrom	180	180	15	0.6	Minnesota	US
Lake Linwood	Anoka	Wyoming	559	475	42	4	Minnesota	US
Lake Linwood	St. Louis	Markham	251	203	34	5.2	Minnesota	US
Lake Little	Chisago	Center City	159	124	23	3.4	Minnesota	US
Lake Little Bass	Cass	Outing	112	67	30	n/a	Minnesota	US
Lake Little Bass	Itasca	Cohasset	155	55	62	15	Minnesota	US
Lake Little Bear	Itasca	Togo	142	97	35	7	Minnesota	US
Lake Little Bemidji	Becker	Ponsford	275	59	58	15.5	Minnesota	US
Lake Little Bowstring	Itasca	Deer River	319	115	33	4.1	Minnesota	US
Lake Little Boy	Cass	Longville	1372	466	74	10.8	Minnesota	US
Lake Little Cut Foot Sioux	Itasca	Deer River	660	530	20	6	Minnesota	US
Lake Little Elbow	Mahnomen	Waubun	158	119	18	8.5	Minnesota	US
Lake Little Emily	Crow Wing	Outing	111	89	26	8	Minnesota	US
Lake Little Floyd	Becker	Detroit Lakes	205	95	34	15	Minnesota	US
Lake Little Hubert	Crow Wing	Nisswa	185	161	41	10	Minnesota	US
Lake Little Island	Hubbard	Nevis	212	137	32	5.5	Minnesota	US
Lake Little Jessie	Itasca	Deer River	637	206	50	8.6	Minnesota	US
Lake Little Johnson	St. Louis	Crane Lake	481	471	28	8.5	Minnesota	US
Lake Little Long	St. Louis	Ely	293	78	45	17	Minnesota	US
Lake Little McDonald	Otter Tail	Perham	1174	413	109	19.1	Minnesota	US
Lake Little Moose	Itasca	Grand Rapids	271	123	23	n/a	Minnesota	US
Lake Little Pelican	Crow Wing	Breezy Point	283	206	34	18	Minnesota	US
Lake Little Pelican	Otter Tail	Vergas	345	256	25	11	Minnesota	US
Lake Little Pine	Crow Wing	Cross Lake	387	225	36	9	Minnesota	US
Lake Little Rock	Benton	Rice	1450	1392	23	1.5	Minnesota	US
Lake Little Saganaga	Cook	BWCA	1575	428	150	11.1	Minnesota	US
Lake Little Sand	Itasca	Squaw Lake	361	231	19	n/a	Minnesota	US
Lake Little Spirit	Jackson	Jackson	572	572	8	5.8	Minnesota	US
Lake Little Stone	St. Louis	Two Harbors	181	140	17	4.8	Minnesota	US
Lake Little Sturgeon	St. Louis	Chisholm	266	54	22	4.5	Minnesota	US
Lake Little Toad	Becker	Frazze	345	107	65	15.5	Minnesota	US
Lake Little Trout	St. Louis	Tower	538	178	37	9	Minnesota	US
Lake Little Trout	St. Louis	Crane Lake	239	79	95	17	Minnesota	US
Lake Little Turtle	Itasca	Talmoon	475	226	29	4	Minnesota	US
Lake Little Vermilion	St. Louis	Crane Lake	1331	639	52	6.5	Minnesota	US
Lake Little Vermillion	Cass	Remer	133	74	55	n/a	Minnesota	US
Lake Little Winnibigoshish	Itasca	Deer River	938	209	28	10	Minnesota	US
Lake Lizzie	Otter Tail	Pelican Rapids	4035	3013	66	11.2	Minnesota	US
Lake Lobster	Douglas	Garfield	1308	667	65	8.5	Minnesota	US
Lake Locke	Wright	Clearwater	156	67	49	4.3	Minnesota	US
Lake Lomond	Clearwater	Bagley	91	44	42	7.4	Minnesota	US
Lake Lone	Aitkin	Aitkin	448	148	60	25.8	Minnesota	US
Lake Long	Aitkin	Glen	415	120	116	n/a	Minnesota	US
Lake Long	Becker	Detroit Lakes	357	152	61	14	Minnesota	US
Lake Long	Beltrami	Turtle River	396	180.5	87	16.5	Minnesota	US
Lake Long	Beltrami	Puposky	719	683	18	9.5	Minnesota	US
Lake Long	Cass	Longville	926	356	115	12	Minnesota	US
Lake Long	Douglas	Evansville	218	201	18	5.5	Minnesota	US
Lake Long	Hennepin	Long Lake	261	131	33	n/a	Minnesota	US
Lake Long	Hubbard	Park Rapids	1974	468	135	13	Minnesota	US
Lake Long	Itasca	Bigfork	331	177	34	8.5	Minnesota	US
Lake Long	Kandiyohi	New London	286	127	46	10.5	Minnesota	US
Lake Long	Kandiyohi	Willmar	1575	1489	16	10.6	Minnesota	US
Lake Long	Meeker	Grove City	771	771	11	0.8	Minnesota	US
Lake Long	Morrison	Sullivan	120	63	35	10	Minnesota	US
Lake Long	Otter Tail	Vergas	1273	529	128	N/A	Minnesota	US
Lake Long	Otter Tail	Dalton	350	236	88	9.5	Minnesota	US
Lake Long	Otter Tail	Ottertail	1173	1170	17	n/a	Minnesota	US
Lake Long	Otter Tail	Weetown	293	272	17	3.5	Minnesota	US
Lake Long	Otter Tail	Fergus Falls	756	306	73	8	Minnesota	US
Lake Long	St. Louis	Makinen	395	395	14	2	Minnesota	US
Lake Long	St. Louis	Crane Lake	409	319	18	5	Minnesota	US
Lake Long	St. Louis	Chisholm	267	126	36	5.7	Minnesota	US
Lake Long	St. Louis	Cotton	209	88	51	11.5	Minnesota	US
Lake Long	Stearns	Richmond	460	304	35	3.5	Minnesota	US
Lake Long	Stevens	Cyrus	579	579	12	1.5	Minnesota	US
Lake Long	Todd	Burtrum	372	79	63	12	Minnesota	US
Lake Long	Todd	Sauk Centre	215	65	36	N/A	Minnesota	US
Lake Long (North)	Crow Wing	Merrifield	5998	3905	97	15.3	Minnesota	US
Lake Long Lost	Clearwater	Zerkel	390	275	63	18	Minnesota	US
Lake Longyear	St. Louis	Chisholm	158	155	18	4.3	Minnesota	US
Lake Loon	Itasca	Grand Rapids	235	48	69	12	Minnesota	US
Lake Loon	Jackson	Jackson	679	679	7	2.7	Minnesota	US
Lake Loon	Otter Tail	Vergas	1048	592	105	14.45	Minnesota	US
Lake Loon	St. Louis	Aurora	290	70	85	18	Minnesota	US
Lake Loon	Waseca	Waseca	122	122	9	N/A	Minnesota	US
Lake Lory	Isanti	Dalbo	212	197	21	3.2	Minnesota	US
Lake Lost	Hennepin	Osseo	20	20	6	N/A	Minnesota	US
Lake Lost	St. Louis	Tower	768	730	20	5	Minnesota	US
Lake Lotus	Carver	Chanhassen	246	182	29	n/a	Minnesota	US
Lake Louisa	Murray	Westbrook	298	298	8	0.8	Minnesota	US
Lake Louise	Douglas	Alexandria	219	99	33	12	Minnesota	US
Lake Louise	Mower	Le Roy	26	26	8	1.3	Minnesota	US
Lake Lower Bottle (Lower)	Hubbard	Dorset	652	311	110	12.5	Minnesota	US
Lake Lower Lasalle	Hubbard	Becida	221	213	16	6	Minnesota	US
Lake Lower Spunk	Stearns	Avon	280	232	27.5	7.5	Minnesota	US
Lake Lower Sucker	Cass	Cass Lake	585	301	35	7	Minnesota	US
Lake Lower Twin	Wadena	Menahga	391	175	26	3.5	Minnesota	US
Lake Lucy	Carver	Chanhassen	92	86	20	5	Minnesota	US
Lake Lura	Blue Earth	Mapleton	1224	1224	9	N/A	Minnesota	US
Lake Madison	Blue Earth	Madison Lake	1113	722	59	4	Minnesota	US
Lake Mallard	Aitkin	Aitkin	417	417	5	n/a	Minnesota	US
Lake Malmedal	Pope	Lowry	220	220	10	N/A	Minnesota	US
Lake Man	Cass	Hackensack	445	45	93	11.2	Minnesota	US
Lake Manganika	St. Louis	Virginia	158	141	24	2	Minnesota	US
Lake Mantrap (Big)	Hubbard	Emmaville	1556	752	68	13	Minnesota	US
Lake Mantrap (Little)	Hubbard	Park Papids	348	197	54	11.5	Minnesota	US
Lake Manuella	Meeker	Darwin	286	114	51	8.8	Minnesota	US
Lake Many Point	Becker	Ponsford	1737	565	92	10.5	Minnesota	US
Lake Maple	Douglas	Forada	815	387	78	14.5	Minnesota	US
Lake Maple	Itasca	Marcell	228	76.5	39	11	Minnesota	US
Lake Maple	Polk	Mentor	1477	1477	14	n/a	Minnesota	US
Lake Maple	Todd	Little Sauk	367	150	23	N/A	Minnesota	US
Lake Maple	Wright	Maple Lake	777	396	76	8.8	Minnesota	US
Lake Marin	Clay	Hawley	108	N/A	9	1.5	Minnesota	US
Lake Marion	Dakota	Lakeville	560	454	21	10.5	Minnesota	US
Lake Marion	McLeod	Brownton	594	594	12	n/a	Minnesota	US
Lake Marion	Otter Tail	Richville	1664	685	62	12	Minnesota	US
Lake Markham	St. Louis	Markham	264	238	29	2.5	Minnesota	US
Lake Marquette	Beltrami	Bemidji	504	285	51	N/A	Minnesota	US
Lake Marsh	Big Stone	Correll	4500	4500	5	0.6	Minnesota	US
Lake Martin	Anoka	Wyoming	234	140	20	1.5	Minnesota	US
Lake Mary	Crow Wing	Emily	380	126	34	4	Minnesota	US
Lake Mary	Douglas	Alexandria	2371	1020	40	5.5	Minnesota	US
Lake Mary	Wright	Maple Lake	209	82	102	5.5	Minnesota	US
Lake Mary	Wright	Winsted	196	84	47	6.5	Minnesota	US
Lake Maud	Becker	Audubon	547	300	32	10	Minnesota	US
Lake Mayhew	Benton	Mayhew	131	66	20	5.5	Minnesota	US
Lake Mayo	Crow Wing	Pequot Lakes	155	147	22	7	Minnesota	US
Lake Mazaska	Rice	Shieldsville	685	336	50	2.3	Minnesota	US
Lake McAvity	Itasca	Grand Rapids	137	101	29	15	Minnesota	US
Lake McCraney	Mahnomen	Nay-tah-waush	268	107	43	11	Minnesota	US
Lake McDonald (Big)	Otter Tail	Perham	935	368	46	10.2	Minnesota	US
Lake McDonald (Little)	Otter Tail	Perham	1174	413	109	19.1	Minnesota	US
Lake McFarland	Cook	Hovland	384	203	49	15.5	Minnesota	US
Lake McKinney	Itasca	Grand Rapids	115	99	34	5.5	Minnesota	US
Lake McQuade	St. Louis	Hibbing	164	157	21	5	Minnesota	US
Lake Medicine	Beltrami	Tenstrike	446	308	44	5.9	Minnesota	US
Lake Medicine	Hennepin	Plymouth	886	399	49	5.5	Minnesota	US
Lake Melissa	Becker	Detroit Lakes	1831	934	43	6.6	Minnesota	US
Lake Mempin	Beltrami	Redby	125	91	23	6.3	Minnesota	US
Lake Meyer	Clay	Hitterdahl	108	N/A	7	1.5	Minnesota	US
Lake Middle	Otter Tail	Battle Lake	194	100	56	17.5	Minnesota	US
Lake Middle Cormorant	Becker	Lake Park	360	144	40	11.5	Minnesota	US
Lake Middle Crooked	Hubbard	Nevis	294	260	33	14	Minnesota	US
Lake Middle Leaf	Otter Tail	Ottertail	398	181	43	12	Minnesota	US
Lake Middle Spunk	Stearns	Avon	236.3	80.8	81	10	Minnesota	US
Lake Midge	Hubbard	Bemidji	521	496	24	17	Minnesota	US
Lake Mill	Douglas	Alexandria	600	240	40	11.5	Minnesota	US
Lake Mille Lacs	Mille Lacs	Garrison	132516	33129	42	N/A	Minnesota	US
Lake Miltona	Douglas	Miltona	5838	2802	105	9.5	Minnesota	US
Lake Mina	Douglas	Alexandria	424	178	123	11.5	Minnesota	US
Lake Minerva	Clearwater	Alida	236	218	16	9	Minnesota	US
Lake Mink	Wright	Maple Lake	301	276	39	2.7	Minnesota	US
Lake Minnetonka	Hennepin	Minnetonka	14004	5849	113	10.9	Minnesota	US
Lake Minnewashta	Carver	Chanhassen	738	n/a	70	13.5	Minnesota	US
Lake Minnewaska	Pope	Glenwood	7110	2140	32	7	Minnesota	US
Lake Minnewawa	Aitkin	McGregor	2512	2286	21	3	Minnesota	US
Lake Minnie Belle	Meeker	Litchfield	545	169	49	16	Minnesota	US
Lake Mission (Lower)	Crow Wing	Merrifield	698	452	27	n/a	Minnesota	US
Lake Mission (Upper)	Crow Wing	Merrifield	817	256	36	14	Minnesota	US
Lake Mitawan	Lake	Isabella	185	105	24	15	Minnesota	US
Lake Mitchell	Crow Wing	Emily	439	118	78	8	Minnesota	US
Lake Mitchell	Hennepin	Eden Prairie	112	109	19	3.5	Minnesota	US
Lake Moose	Itasca	Deer River	1265	345	61	14.5	Minnesota	US
Lake Moose	Itasca	Northome	357	93	52	9	Minnesota	US
Lake Moosehead	Carlton	Moose Lake	292	261	18	4	Minnesota	US
Lake Moses	Douglas	Millerville	822	399	32	12.5	Minnesota	US
Lake Mound	Todd	Burtrum	273	88	57	13.5	Minnesota	US
Lake Mountain	Cottonwood	Mountain Lake	241	241	8	2	Minnesota	US
Lake Movil	Beltrami	Bemidji	923	513	50	6.25	Minnesota	US
Lake Mud	Otter Tail	Perham	N/A	N/A	N/A	N/A	Minnesota	US
Lake Mud	Kandiyohi	New London	2318	2318	14	5.4	Minnesota	US
Lake Mud	Traverse	Wheaton	1640	1640	6.5	3	Minnesota	US
Lake Mukooda	St. Louis	Crane Lake	754	151	78	12	Minnesota	US
Lake Mule	Cass	Longville	456	182	47	15.5	Minnesota	US
Lake Murphy	St. Louis	Central Lakes	395	261	24	4.1	Minnesota	US
Lake Myrtle	St. Louis	Orr	889	862	20	10.5	Minnesota	US
Lake Nelson	Becker	Lake Park	241	236	16	7	Minnesota	US
Lake Nelson	Pope	Glenwood	403	403	9	4.5	Minnesota	US
Lake Nest	Kandiyohi	Spicer	945	525	40	9.8	Minnesota	US
Lake Net	Becker	White Earth	213	134	47	6.5	Minnesota	US
Lake Net	Pine	Nickerson	136	136	15	3.7	Minnesota	US
Lake Nichols	St. Louis	Payne	413	362	31	5.1	Minnesota	US
Lake Ninemile	Lake	Schroeder	296	288	40	10	Minnesota	US
Lake Ninth Crow Wing	Hubbard	Akeley	227	95	65	9.5	Minnesota	US
Lake Nokay	Crow Wing	Brainerd	660	218	42	8	Minnesota	US
Lake Nokomis	Hennepin	Minneapolis	204	100	33	2	Minnesota	US
Lake Nord	Aitkin	Aitkin	412	272	29	10.5	Minnesota	US
