Place	County	Nearby Town	Size(acres)	Littoral zone(acres)	Max depth(ft)	Water Clarity(ft)	State	Country
Lake Big Island	Itasca	Marcell	238	202	42	14.5	Minnesota	US
Lake Big Kandiyohi	Kandiyohi	Lake Lillian	2692	2692	15	2.8	Minnesota	US
Lake Big Marine	Washington	Forest Lake	1756	1152	60	9	Minnesota	US
Lake Big McDonald 2	Otter Tail	Dent	489	295	33	13.6	Minnesota	US
Lake Big Moose	Beltrami	Pennington	568	241	71	13	Minnesota	US
Lake Big Moose	St. Louis	Ely	1032	1012	23	n/a	Minnesota	US
Lake Big Ole	Itasca	Marcell	179	84	65	15.5	Minnesota	US
Lake Big Pine	Pine	Finlayson	387	135	25	9.5	Minnesota	US
Lake Big Portage	Cass	Backus	918	901	23	7.2	Minnesota	US
Lake Big Rabbit (East)	Crow Wing	Cuyuna	638	242	337	16	Minnesota	US
Lake Big Rabbit (West)	Crow Wing	Cuyuna	531	165	50	13	Minnesota	US
Lake Big Rice	Cass	Remer	2832	2832	5	5	Minnesota	US
Lake Big Rice	St. Louis	Ely	420	420	5	2	Minnesota	US
Lake Big Rush	Becker	Ponsford	917	917	9	6.5	Minnesota	US
Lake Big Sand	Hubbard	Park Rapids	1635	465	135	25	Minnesota	US
Lake Big Sandy	Aitkin	McGregor	6526	3067	84	5	Minnesota	US
Lake Big Spunk	Stearns	Avon	440	150	38	10	Minnesota	US
Lake Big Stone	Big Stone	Ortonville	12610	12484	16	14.75	Minnesota	US
Lake Big Stoney	Hubbard	Park Rapids	319	223	24	4	Minnesota	US
Lake Big Sucker	Itasca	Nashwauk	230	138	36	5	Minnesota	US
Lake Big Swan	Meeker	Kingston	628	338	32	4.1	Minnesota	US
Lake Big Swan	Todd	Burtrum	918	404	45	5	Minnesota	US
Lake Big Too Much	Itasca	Talmoon	232	56	95	13	Minnesota	US
Lake Big Trout	Crow Wing	Cross Lake	1342	369	128	11	Minnesota	US
Lake Big Watab	Stearns	Avon	227	46	123	10	Minnesota	US
Lake Big Wolf	Beltrami	Bemidji	1094	390	57	9.5	Minnesota	US
Lake Bingham	Cottonwood	Bingham Lake	259	259	10	6	Minnesota	US
Lake Birch	Aitkin	Aitkin	421	421	8	3	Minnesota	US
Lake Birch	Becker	Callaway	233	N/A	25	5	Minnesota	US
Lake Birch	Cass	Hackensack	1284	755	45	7.7	Minnesota	US
Lake Birch	Cass	Remer	255	51	30	10	Minnesota	US
Lake Birch	Lake	Ely	711	342	34	9	Minnesota	US
Lake Birch	Sherburne	Big Lake	151	117	18	2.5	Minnesota	US
Lake Birch	St. Louis	Babbit	5628	1060	25	4	Minnesota	US
Lake Birch (Big)	Todd	Grey Eagle	2108	642	81	4.2	Minnesota	US
Lake Birch (Little)	Todd	Grey Eagle	838	277	89	4.5	Minnesota	US
Lake Black	Beltrami	Turtle River	246	125	42	N/A	Minnesota	US
Lake Blackduck	Beltrami	Blackduck	2596	1374	28	3	Minnesota	US
Lake Blackduck	St. Louis	Orr	1185	498	30	10.5	Minnesota	US
Lake Blackwater	Cass	Longville	722	336	67	13.7	Minnesota	US
Lake Blackwater	Itasca	Cohasset	674	633	72	9.4	Minnesota	US
Lake Blackwell	Douglas	Holmes City	307	199	42	11	Minnesota	US
Lake Blanche	Otter Tail	Ottertail	1268	1002	64	9	Minnesota	US
Lake Blandin	Itasca	Grand Rapids	449	366	38	15	Minnesota	US
Lake Blind	Aitkin	Aitkin	370	359	17	6	Minnesota	US
Lake Block	Otter Tail	Urbank	263	132	23	5.8	Minnesota	US
Lake Bloody	Murray	Currie	248	248	9	1	Minnesota	US
Lake Blue	Hubbard	Park Rapids	324	81	84	27	Minnesota	US
Lake Blue	Isanti	Princeton	309	134	31	5	Minnesota	US
Lake Blueberry	Wadena	Menahga	522	522	15	4.5	Minnesota	US
Lake Bluewater	Itasca	Grand Rapids	364	72	120	14.5	Minnesota	US
Lake Boedigheimer	Otter Tail	Richville	176	93	26	13.5	Minnesota	US
Lake Bone	Washington	Forest Lake	210	124	30	9.5	Minnesota	US
Lake Boot	Becker	Two Inlets	348	81	109	16	Minnesota	US
Lake Boot	Beltrami	Bemidji	267	203	30	8.5	Minnesota	US
Lake Borden	Crow Wing	Garrison	957	304	84	9	Minnesota	US
Lake Bouder	Cook	Grand Marais	136	133	17	N/A	Minnesota	US
Lake Boulder	Hubbard	Dorset	360	180	28	9.5	Minnesota	US
Lake Bowstring	Itasca	Deer River	9220	4736	32	6	Minnesota	US
Lake Boy	Cass	Boy River	3186	2007	45	6.5	Minnesota	US
Lake Boyer	Becker	Lake Park	310	204	26	5.5	Minnesota	US
Lake Briggs	Sherburne	Clear Lake	377	170	25	3	Minnesota	US
Lake Brophy	Douglas	Alexandria	289	150	44	11.5	Minnesota	US
Lake Browns	Lake	Ely	205	170	19	12	Minnesota	US
Lake Brule	Cook	Grand Marais	4617	1431	78	15	Minnesota	US
Lake Bryant	Hennepin	Eden Prairie	161	64	45	5.4	Minnesota	US
Lake Buchanan	Otter Tail	Ottertail	929	835	42	11	Minnesota	US
Lake Buck	Beltrami	Cass Lake	271	68	40	16	Minnesota	US
Lake Buck	Itasca	Nashwauk	492	180	31	8	Minnesota	US
Lake Buffalo	Becker	Richwood	376	192	38	N/A	Minnesota	US
Lake Buffalo	Murray	Dovray	124	124	8.5	1.3	Minnesota	US
Lake Burnt Shanty	Itasca	Marcell	182	127	35	10.5	Minnesota	US
Lake Burntside	St. Louis	Tower	7139	1478	126	20	Minnesota	US
Lake Burrows	Itasca	Marcell	291	227	38	12	Minnesota	US
Lake Bush	Hennepin	Bloomington	172	110	28	16.8	Minnesota	US
Lake Busties	Itasca	Holyoke	237	71	44	n/a	Minnesota	US
Lake Button Box	Itasca	Togo	81.4	68	18	11	Minnesota	US
Lake Byllesby	Dakota	Cannon Falls	1435	976	50	2.6	Minnesota	US
Lake Cadotte	St. Louis	Fairbanks	325	230	18	12	Minnesota	US
Lake Calhoun	Hennepin	Minneapolis	401	123	82	15	Minnesota	US
Lake Calhoun	Kandiyohi	Spicer	618	618	13	5.7	Minnesota	US
Lake Cameron	Polk	Erskine	224	224	9	n/a	Minnesota	US
Lake Cameron	St. Louis	Cotton	162	81	27	6.5	Minnesota	US
Lake Camp	Crow Wing	Pine Center	478	206	42	6	Minnesota	US
Lake Camp	Swift	Swift Falls	203	97	26	3.83	Minnesota	US
Lake Campbell	Beltrami	Puposky	475	222	25	N/A	Minnesota	US
Lake Cannon	Rice	Faribault	1591	1591	15	2	Minnesota	US
Lake Carey	St. Louis	Hibbing	139	139	13.5	5	Minnesota	US
Lake Caribou	Cook	Lutsen	728	439	30	8.5	Minnesota	US
Lake Caribou	Cook	Grand Marais	255	204	26	7	Minnesota	US
Lake Caribou	Itasca	Marcell	240	45	152	28	Minnesota	US
Lake Carlos	Douglas	Alexandria	2520	910	163	11	Minnesota	US
Lake Cascade	Cook	Lutsen	415	415	17	8	Minnesota	US
Lake Cass	Beltrami	Cass Lake	15596	3119	120	N/A	Minnesota	US
Lake Cedar	Aitkin	McGrath	232	215	18	2.5	Minnesota	US
Lake Cedar	Aitkin	Aitkin	1769	405	105	5.8	Minnesota	US
Lake Cedar	Hennepin	Minneapolis	169	63	51	5.5	Minnesota	US
Lake Cedar	McLeod	Cedar Mills	1924	1924	8	5.8	Minnesota	US
Lake Cedar	Rice	Faribault	804	673	42	2	Minnesota	US
Lake Cedar	Scott	New Prague	780	780	13	3.1	Minnesota	US
Lake Cedar Island	St. Louis	Biwabik	185	176	20	3	Minnesota	US
Lake Cedar Island	Stearns	Richmond	998	755	75	2.3	Minnesota	US
Lake Center (North)	Chisago	Center City	725	608	46	1.7	Minnesota	US
Lake Center (South)	Chisago	Lindstrom	835	561	109	3.6	Minnesota	US
Lake Centerville	Anoka	Centerville	455	276	19	3.2	Minnesota	US
Lake Chase	Itasca	Deer River	209	68	95	20.5	Minnesota	US
Lake Child	Cass	Longville	316	158	29	10	Minnesota	US
Lake Chippewa (Big)	Douglas	Brandon	1186	505	95	7	Minnesota	US
Lake Chippewa (Little)	Douglas	Brandon	270	126	24	9	Minnesota	US
Lake Chisago City	Chisago	Chisago	873	695	34	n/a	Minnesota	US
Lake Christina	Douglas	Ashby	3978	3978	14	n/a	Minnesota	US
Lake Christmas	Hennepin	Eden Prairie	257	77	87	18.8	Minnesota	US
Lake Chub	Carlton	Carlton	311	169	28	7.25	Minnesota	US
Lake Chub	Dakota	Farmington	274	274	10	N/A	Minnesota	US
Lake Chub	St. Louis	Ash Lake	125	125	15	6.0	Minnesota	US
Lake Church	Mahnomen	Mahnomen	167	161	19	1.9	Minnesota	US
Lake Circle	Rice	Lonsdale	624	624	14	n/a	Minnesota	US
Lake Clear	Aitkin	Glen	562	363	24	15.5	Minnesota	US
Lake Clear	Crow Wing	Jenkins	220	59	63	19	Minnesota	US
Lake Clear	Goodhue	Hastings	198	392	7	N/A	Minnesota	US
Lake Clear	Jackson	Jackson	415	415	9	2.2	Minnesota	US
Lake Clear	Lesueur	Lexington	268	198	18	2.3	Minnesota	US
Lake Clear	Meeker	Watkins	497	441	18	1.5	Minnesota	US
Lake Clear	Otter Tail	Dalton	352	153	29	8.1	Minnesota	US
Lake Clear	Sibley	Gibbon	469	469	8	N/A	Minnesota	US
Lake Clear	St. Louis	Ely	119	97	24	11	Minnesota	US
Lake Clear	St. Louis	Buhl	112	94	24	10.5	Minnesota	US
Lake Clear	Waseca	Waseca	652	448	34	N/A	Minnesota	US
Lake Clear	Washington	Forest Lake	424	267	28	4.5	Minnesota	US
Lake Clearwater	Beltrami	Leonard	1008	339	65	10.5	Minnesota	US
Lake Clearwater	Crow Wing	Deerwood	880	252	54	14	Minnesota	US
Lake Clitherall	Otter Tail	Dalton	2493	805	69	9.3	Minnesota	US
Lake Clubhouse	Itasca	Marcell	210	32	103	17	Minnesota	US
Lake Cody	Rice	Montgomery	257	257	14	0.7	Minnesota	US
Lake Colby	St. Louis	Hoyt Lakes	539	377	30	4	Minnesota	US
Lake Comfort	Chisago	Wyoming	219	90	47	3.8	Minnesota	US
Lake Como	Ramsey	St. Paul	66.7	66.5	15.5	1.5	Minnesota	US
Lake Comstock	St. Louis	Whiteface	443	310	30	4	Minnesota	US
Lake Coon	Anoka	Soderville	1259	1098	27	6.75	Minnesota	US
Lake Coon	Itasca	Big Fork	627	504	36	11.4	Minnesota	US
Lake Cormorant (Big)	Becker	Audubon	3421	812	75	10	Minnesota	US
Lake Cormorant (Little)	Becker	Audubon	924	619	34	11.5	Minnesota	US
Lake Cotton	Becker	Rochert	1720	781	28	13.5	Minnesota	US
Lake Cottonwood	Grant	Donnelly	243	243	16	8	Minnesota	US
Lake Cottonwood	Lyon	Cottonwood	323	323	7	2.3	Minnesota	US
Lake Cowdry	Douglas	Alexandria	238	88	52	9.5	Minnesota	US
Lake Crane	Otter Tail	Battle Lake	367	202	43	11	Minnesota	US
Lake Crane	St. Louis	Crane Lake	3088	618	80	7.5	Minnesota	US
