name,place,county,state,country
Lake Jane, Washington, Lake Elmo, Minnesota, US
Lake Janette, St. Louis, Goodland, Minnesota, US
Lake Jasper, Lake, Ely, Minnesota, US
Lake Jay Gould, Itasca, Cohasset, Minnesota, US
Lake Jefferson, Le Sueur County, Cleveland, Minnesota, US
Lake Jennie, Meeker, Dassel, Minnesota, US
Lake Jessie, Itasca, Talmoon, Minnesota, US
Lake Jewett, Otter Tail, Elizabeth, Minnesota, US
Lake Johanna, Pope, Brooten, Minnesota, US
Lake Johanna, Ramsey, Arden Hills, Minnesota, US
Lake John, Wright, Annanndale, Minnesota, US
Lake Johnson, Itasca, Marcell, Minnesota, US
Lake Johnson, Itasca, Grand Rapids, Minnesota, US
Lake Johnson, Otter Tail, Dalton, Minnesota, US
Lake Johnson, St. Louis, Ely, Minnesota, US
Lake Johnson, St. Louis, Crane Lake, Minnesota, US
Lake Jolly Ann, Otter Tail, Dalton, Minnesota, US
Lake Josephine, Ramsey, Roseville, Minnesota, US
Lake Juggler, Becker, Ponsford, Minnesota, US
Lake Julia, Beltrami, Puposky, Minnesota, US
Lake Julia, Sherburne, Clear Lake, Minnesota, US
Lake Kabekona, Hubbard, Laporte, Minnesota, US
Lake Kabetogama, St. Louis, Kabetogama, Minnesota, US
Lake Kego, Crow Wing, Fifty Lakes, Minnesota, US
Lake King, Itasca, Taconite, Minnesota, US
Lake Kitchi, Beltrami, Pennington, Minnesota, US
Lake Kjostad, St. Louis, Buyck, Minnesota, US
Lake KnaUS Stearns, Cold Spring, Minnesota, US
Lake Knife, Kanabec, Mora, Minnesota, US
Lake Kohlmeier, Steele, Owatonna, Minnesota, US
Lake Koronis, Stearns, Paynesville, Minnesota, US
Lake Kroon, Chisago, Lindstrom, Minnesota, US
Lake Lac qui Parle, Lac Qui Parle, Milan, Minnesota, US
Lake Lady, Todd, Grey Eagle, Minnesota, US
Lake Lady Slipper, Lyon, Cottonwood, Minnesota, US
Lake Lake of the Isles, Hennepin, Minneapolis, Minnesota, US
Lake Lake of the Woods, Lake of the Woods, Warroad, 950400, Minnesota, US
Lake Langdon, Hennepin, Mound, 144, 82., Minnesota, US
Lake Large Henry, Swift, Appleton, Minnesota, US
Lake Latoka, Douglas, Alexandria, Minnesota, US
Lake Lawrence, Itasca, Taconite, Minnesota, US
Lake Le Homme Dieu, Douglas, Alexandria, Minnesota, US
Lake Lee, Clay, Hawley, Minnesota, US
Lake Leech, Cass, Walker, Minnesota, US
Lake Leek, Otter Tail, Vergas, Minnesota, US
Lake Leif, Becker, Audubon, Minnesota, US
Lake Leighton, Itasca, Cohasset, Minnesota, US
Lake Leora (called Elora), St. Louis, Cotton, Minnesota, US
Lake Leven, Pope, Villard, Minnesota, US
Lake Lewis, Kanabec, Ogilve, Minnesota, US
Lake Lida (North), Otter Tail, Pelican Rapids, Minnesota, US
Lake Lida (South), Otter Tail, Pelican Rapids, Minnesota, US
Lake Lightning, Grant, Wendell, Minnesota, US
Lake Lime, Murray, Avoca, Minnesota, US
Lake Limestone, Wright, Clearwater, Minnesota, US
Lake Lind, Cass, BackUS Minnesota, US
Lake Lindstrom (North), Chisago, Lindstrom, Minnesota, US
Lake Lindstrom (South), Chisago, Lindstrom, Minnesota, US
Lake Linka, Pope, Sedan, Minnesota, US
Lake Linn, Chisago, Lindstrom, Minnesota, US
Lake Linwood, Anoka, Wyoming, Minnesota, US
Lake Linwood, St. Louis, Markham, Minnesota, US
Lake Little, Chisago, Center City, Minnesota, US
Lake Little Bass, Cass, Outing, Minnesota, US
Lake Little Bass, Itasca, Cohasset, Minnesota, US
Lake Little Bear, Itasca, Togo, Minnesota, US
Lake Little Bemidji, Becker, Ponsford, Minnesota, US
Lake Little Bowstring, Itasca, Deer River, Minnesota, US
Lake Little Boy, Cass, Longville, Minnesota, US
Lake Little Cut Foot Sioux, Itasca, Deer River, Minnesota, US
Lake Little Elbow, Mahnomen, Waubun, Minnesota, US
Lake Little Emily, Crow Wing, Outing, Minnesota, US
Lake Little Floyd, Becker, Detroit Lakes, Minnesota, US
Lake Little Hubert, Crow Wing, Nisswa, Minnesota, US
Lake Little Island, Hubbard, Nevis, Minnesota, US
Lake Little Jessie, Itasca, Deer River, Minnesota, US
Lake Little Johnson, St. Louis, Crane Lake, Minnesota, US
Lake Little Long, St. Louis, Ely, Minnesota, US
Lake Little McDonald, Otter Tail, Perham, Minnesota, US
Lake Little Moose, Itasca, Grand Rapids, Minnesota, US
Lake Little Pelican, Crow Wing, Breezy Point, Minnesota, US
Lake Little Pelican, Otter Tail, Vergas, Minnesota, US
Lake Little Pine, Crow Wing, Cross Lake, Minnesota, US
Lake Little Rock, Benton, Rice, Minnesota, US
Lake Little Saganaga, Cook, BWCA, Minnesota, US
Lake Little Sand, Itasca, Squaw Lake, Minnesota, US
Lake Little Spirit, Jackson, Jackson, Minnesota, US
Lake Little Stone, St. Louis, Two Harbors, Minnesota, US
Lake Little Sturgeon, St. Louis, Chisholm, Minnesota, US
Lake Little Toad, Becker, Frazze, Minnesota, US
Lake Little Trout, St. Louis, Tower, Minnesota, US
Lake Little Trout, St. Louis, Crane Lake, Minnesota, US
Lake Little Turtle, Itasca, Talmoon, Minnesota, US
Lake Little Vermilion, St. Louis, Crane Lake, Minnesota, US
Lake Little Vermillion, Cass, Remer, Minnesota, US
Lake Little Winnibigoshish, Itasca, Deer River, Minnesota, US
Lake Lizzie, Otter Tail, Pelican Rapids, Minnesota, US
Lake Lobster, Douglas, Garfield, Minnesota, US
Lake Locke, Wright, Clearwater, Minnesota, US
Lake Lomond, Clearwater, Bagley, Minnesota, US
Lake Lone, Aitkin, Aitkin, Minnesota, US
Lake Long, Aitkin, Glen, Minnesota, US
Lake Long, Becker, Detroit Lakes, Minnesota, US
Lake Long, Beltrami, Turtle River, Minnesota, US
Lake Long, Beltrami, Puposky, Minnesota, US
Lake Long, Cass, Longville, Minnesota, US
Lake Long, Douglas, Evansville, Minnesota, US
Lake Long, Hennepin, Long Lake, Minnesota, US
Lake Long, Hubbard, Park Rapids, Minnesota, US
Lake Long, Itasca, Bigfork, Minnesota, US
Lake Long, Kandiyohi, New London, Minnesota, US
Lake Long, Kandiyohi, Willmar, Minnesota, US
Lake Long, Meeker, Grove City, Minnesota, US
Lake Long, Morrison, Sullivan, Minnesota, US
Lake Long, Otter Tail, Vergas, Minnesota, US
Lake Long, Otter Tail, Dalton, Minnesota, US
Lake Long, Otter Tail, Ottertail, Minnesota, US
Lake Long, Otter Tail, Weetown, Minnesota, US
Lake Long, Otter Tail, Fergus Falls, Minnesota, US
Lake Long, St. Louis, Makinen, Minnesota, US
Lake Long, St. Louis, Crane Lake, Minnesota, US
Lake Long, St. Louis, Chisholm, Minnesota, US
Lake Long, St. Louis, Cotton, Minnesota, US
Lake Long, Stearns, Richmond, Minnesota, US
Lake Long, Stevens, CyrUS Minnesota, US
Lake Long, Todd, Burtrum, Minnesota, US
Lake Long, Todd, Sauk Centre, Minnesota, US
Lake Long (North), Crow Wing, Merrifield, Minnesota, US
Lake Long Lost, Clearwater, Zerkel, Minnesota, US
Lake Longyear, St. Louis, Chisholm, Minnesota, US
Lake Loon, Itasca, Grand Rapids, Minnesota, US
Lake Loon, Jackson, Jackson, Minnesota, US
Lake Loon, Otter Tail, Vergas, Minnesota, US
Lake Loon, St. Louis, Aurora, Minnesota, US
Lake Loon, Waseca, Waseca, Minnesota, US
Lake Lory, Isanti, Dalbo, Minnesota, US
Lake Lost, Hennepin, Osseo, Minnesota, US
Lake Lost, St. Louis, Tower, Minnesota, US
Lake LotUS Carver, Chanhassen, Minnesota, US
Lake Louisa, Murray, Westbrook, Minnesota, US
Lake Louise, Douglas, Alexandria, Minnesota, US
Lake Louise, Mower, Le Roy, Minnesota, US
Lake Lower Bottle (Lower), Hubbard, Dorset, Minnesota, US
Lake Lower Lasalle, Hubbard, Becida, Minnesota, US
Lake Lower Spunk, Stearns, Avon, Minnesota, US
Lake Lower Sucker, Cass, Cass Lake, Minnesota, US
Lake Lower Twin, Wadena, Menahga, Minnesota, US
Lake Lucy, Carver, Chanhassen, Minnesota, US
Lake Lura, Blue Earth, Mapleton, Minnesota, US
Lake Madison, Blue Earth, Madison Lake, Minnesota, US
Lake Mallard, Aitkin, Aitkin, Minnesota, US
Lake Malmedal, Pope, Lowry, Minnesota, US
Lake Man, Cass, Hackensack, Minnesota, US
Lake Manganika, St. Louis, Virginia, Minnesota, US
Lake Mantrap (Big), Hubbard, Emmaville, Minnesota, US
Lake Mantrap (Little), Hubbard, Park Papids, Minnesota, US
Lake Manuella, Meeker, Darwin, Minnesota, US
Lake Many Point, Becker, Ponsford, Minnesota, US
Lake Maple, Douglas, Forada, Minnesota, US
Lake Maple, Itasca, Marcell, Minnesota, US
Lake Maple, Polk, Mentor, Minnesota, US
Lake Maple, Todd, Little Sauk, Minnesota, US
Lake Maple, Wright, Maple Lake, Minnesota, US
Lake Marin, Clay, Hawley, Minnesota, US
Lake Marion, Dakota, Lakeville, Minnesota, US
Lake Marion, McLeod, Brownton, Minnesota, US
Lake Marion, Otter Tail, Richville, Minnesota, US
Lake Markham, St. Louis, Markham, Minnesota, US
Lake Marquette, Beltrami, Bemidji, Minnesota, US
Lake Marsh, Big Stone, Correll, Minnesota, US
Lake Martin, Anoka, Wyoming, Minnesota, US
Lake Mary, Crow Wing, Emily, Minnesota, US
Lake Mary, Douglas, Alexandria, Minnesota, US
Lake Mary, Wright, Maple Lake, Minnesota, US
Lake Mary, Wright, Winsted, Minnesota, US
Lake Maud, Becker, Audubon, Minnesota, US
Lake Mayhew, Benton, Mayhew, Minnesota, US
Lake Mayo, Crow Wing, Pequot Lakes, Minnesota, US
Lake Mazaska, Rice, Shieldsville, Minnesota, US
Lake McAvity, Itasca, Grand Rapids, Minnesota, US
Lake McCraney, Mahnomen, Nay-tah-waush, Minnesota, US
Lake McDonald (Big), Otter Tail, Perham, Minnesota, US
Lake McDonald (Little), Otter Tail, Perham, Minnesota, US
Lake McFarland, Cook, Hovland, Minnesota, US
Lake McKinney, Itasca, Grand Rapids, Minnesota, US
Lake McQuade, St. Louis, Hibbing, Minnesota, US
Lake Medicine, Beltrami, Tenstrike, Minnesota, US
Lake Medicine, Hennepin, Plymouth, Minnesota, US
Lake Melissa, Becker, Detroit Lakes, Minnesota, US
Lake Mempin, Beltrami, Redby, Minnesota, US
Lake Meyer, Clay, Hitterdahl, Minnesota, US
Lake Middle, Otter Tail, Battle Lake, Minnesota, US
Lake Middle Cormorant, Becker, Lake Park, Minnesota, US
Lake Middle Crooked, Hubbard, Nevis, Minnesota, US
Lake Middle Leaf, Otter Tail, Ottertail, Minnesota, US
Lake Middle Spunk, Stearns, Avon, Minnesota, US
Lake Midge, Hubbard, Bemidji, Minnesota, US
Lake Mill, Douglas, Alexandria, Minnesota, US
Lake Mille Lacs, Mille Lacs, Garrison, Minnesota, US
Lake Miltona, Douglas, Miltona, Minnesota, US
Lake Mina, Douglas, Alexandria, Minnesota, US
Lake Minerva, Clearwater, Alida, Minnesota, US
Lake Mink, Wright, Maple Lake, Minnesota, US
Lake Minnetonka, Hennepin, Minnetonka, Minnesota, US
Lake Minnewashta, Carver, Chanhassen, Minnesota, US
Lake Minnewaska, Pope, Glenwood, Minnesota, US
Lake Minnewawa, Aitkin, McGregor, Minnesota, US
Lake Minnie Belle, Meeker, Litchfield, Minnesota, US
Lake Mission (Lower), Crow Wing, Merrifield, Minnesota, US
Lake Mission (Upper), Crow Wing, Merrifield, Minnesota, US
Lake Mitawan, Lake, Isabella, Minnesota, US
Lake Mitchell, Crow Wing, Emily, Minnesota, US
Lake Mitchell, Hennepin, Eden Prairie, Minnesota, US
Lake Moose, Itasca, Deer River, Minnesota, US
Lake Moose, Itasca, Northome, Minnesota, US
Lake Moosehead, Carlton, Moose Lake, Minnesota, US
Lake Moses, Douglas, Millerville, Minnesota, US
Lake Mound, Todd, Burtrum, Minnesota, US
Lake Mountain, Cottonwood, Mountain Lake, Minnesota, US
Lake Movil, Beltrami, Bemidji, Minnesota, US
Lake Mud, Otter Tail, Perham, Minnesota, US
Lake Mud, Kandiyohi, New London, Minnesota, US
Lake Mud, Traverse, Wheaton, Minnesota, US
Lake Mukooda, St. Louis, Crane Lake, Minnesota, US
Lake Mule, Cass, Longville, Minnesota, US
Lake Murphy, St. Louis, Central Lakes, Minnesota, US
Lake Myrtle, St. Louis, Orr, Minnesota, US
Lake Nelson, Becker, Lake Park, Minnesota, US
Lake Nelson, Pope, Glenwood, Minnesota, US
Lake Nest, Kandiyohi, Spicer, Minnesota, US
Lake Net, Becker, White Earth, Minnesota, US
Lake Net, Pine, Nickerson, Minnesota, US
Lake Nichols, St. Louis, Payne, Minnesota, US
Lake Ninemile, Lake, Schroeder, Minnesota, US
Lake Ninth Crow Wing, Hubbard, Akeley, Minnesota, US
Lake Nokay, Crow Wing, Brainerd, Minnesota, US
Lake Nokomis, Hennepin, Minneapolis, Minnesota, US
Lake Nord, Aitkin, Aitkin, Minnesota, US
Lake North Browns, Stearns, Eden Valley, Minnesota, US
Lake North Lida, Otter Tail, Pelican Rapids, Minnesota, US
Lake North Star, Itasca, Marcell, Minnesota, US
Lake North Ten Mile, Otter Tail, Fergus Falls, Minnesota, US
Lake North Turtle, Otter Tail, Underwood, Minnesota, US
Lake North Twin, Beltrami, Turtle River, Minnesota, US
Lake North Twin, Itasca, Marble, Minnesota, US
Lake North Twin, Mahnomen, Nay-tah-waush, Minnesota, US
Lake Northern Light, Cook, Grand Marais, Minnesota, US
Lake Norway, Kandiyohi, Sunburg, Minnesota, US
Lake Norway, Otter Tail, Underwood, Minnesota, US
Lake No-Ta-She-Bun(Willow), Itasca, Remer, Minnesota, US
Lake Oak, Pine, Duquette, Minnesota, US
Lake O'Dowd, Scott, Shakopee, Minnesota, US
Lake Ojibway, Lake, Ely, Minnesota, US
Lake Okamanpeedan, Martin, Ceylon, Minnesota, US
Lake Oliver, Swift, Appleton, Minnesota, US
Lake Olson, Stevens, CyrUS Minnesota, US
Lake Onamia, Mille Lacs, Onamia, Minnesota, US
Lake One Pine, St. Louis, Ely, Minnesota, US
Lake Orchard, Dakota, Lakeville, Minnesota, US
Lake Ore-be-gone, St. Louis, Gilbert, Minnesota, US
Lake Orono, Sherburne, Elk River, Minnesota, US
Lake Orwell, Otter Tail, Fergus Falls, Minnesota, US
Lake Osakis, Todd, Osakis, Minnesota, US
Lake Oscar, Douglas, Holmes City, Minnesota, US
Lake Otter Tail, Otter Tail, Ottertail, Minnesota, US
Lake Owasso, Ramsey, Shoreview, Minnesota, US
Lake Owen, Itasca, Bigfork, Minnesota, US
Lake Ox Yoke, Cass, BackUS Minnesota, US
Lake Page, Stevens, Hancock, Minnesota, US
Lake Park, Carlton, Mahtowa, Minnesota, US
Lake Parley, Carver, Waconia, Minnesota, US
Lake Paul, Otter Tail, Perham, Minnesota, US
Lake Pearl, Becker, Detroit Lakes, Minnesota, US
Lake Pearl, Stearns, Cold Spring, Minnesota, US
Lake Peavy, Morrison, Sullivan, Minnesota, US
Lake Pelican, Crow Wing, Breezy Point, Minnesota, US
Lake Pelican, Grant, Ashby, Minnesota, US
Lake Pelican, Otter Tail, Pelican Rapids, Minnesota, US
Lake Pelican, Pope, Glenwood, Minnesota, US
Lake Pelican, St. Louis, Orr, Minnesota, US
Lake Pelican, Stearns, St.Anna, Minnesota, US
Lake Pelkey, Morrison, Little Falls, Minnesota, US
Lake Peltier, Anoka, Centerville, Minnesota, US
Lake Pepin, Goodhue, Lake City, Minnesota, US
Lake Pequaywan, St. Louis, Rollins, Minnesota, US
Lake Perch, Lincoln, Ivanhoe, 224, 180, 16., Minnesota, US
Lake Perch, St. Louis, Chisholm, Minnesota, US
Lake Perent, Lake, Isabella, Minnesota, US
Lake Perkins, Stevens, Morris, Minnesota, US
Lake Phalen, Ramsey, St. Paul, Minnesota, US
Lake Pickeral, Freeborn, Albert Lea, Minnesota, US
Lake Pickerel, Becker, Detroit Lakes, Minnesota, US
Lake Pickerel, Hubbard, Park Rapids, Minnesota, US
Lake Pickerel, Itasca, Effie, Minnesota, US
Lake Pickerel, Otter Tail, Maine, Minnesota, US
Lake Picket, St. Louis, Buyck, Minnesota, US
Lake Pierson, Carver, Victoria, Minnesota, US
Lake Pierz, Morrison, Genola, Minnesota, US
Lake Pike, Cass, Cass Lake, Minnesota, US
Lake Pike, Cook, Grand Marais, Minnesota, US
Lake Pimushe, Beltrami, Pennington, Minnesota, US
Lake Pine (Big), Aitkin, Cutler, Minnesota, US
Lake Pine (Little), Aitkin, Aitkin, Minnesota, US
Lake Pine, Clearwater, Gonvick, Minnesota, US
Lake Pine, Crow Wing, Cross Lake, Minnesota, US
Lake Pine (Big), Otter Tail, Perham, Minnesota, US
Lake Pine (Little), Otter Tail, Perham, Minnesota, US
Lake Pine, St. Louis, Fairbanks, Minnesota, US
Lake Pine Island, Todd, Cushing, Minnesota, US
Lake Pine Mountain, Cass, BackUS Minnesota, US
Lake Pine Tree, Washington, Dellwood, Minnesota, US
Lake Plantagenet, Hubbard, Bemidji, Minnesota, US
Lake Platte, Crow Wing, Sullivan, Minnesota, US
Lake Pleasant, Cass, Hackensack, Minnesota, US
Lake Pleasant, Otter Tail, Underwood, Minnesota, US
Lake Pleasant, St. Louis, Eveleth, Minnesota, US
Lake Pleasant, Stearns, Pleasant Lake, Minnesota, US
Lake Pleasant, Wright, Annanndale, Minnesota, US
Lake Pocket, Douglas, Lowry, Minnesota, US
Lake Pokegama, Itasca, Grand Rapids, Minnesota, US
Lake Pokegama, Pine, Pine City, Minnesota, US
Lake Ponto, Cass, BackUS Minnesota, US
Lake Poposky, Beltrami, Bemidji, Minnesota, US
Lake Portage, Aitkin, McGregor, Minnesota, US
Lake Portage, Hubbard, Park Rapids, Minnesota, US
Lake Portage, Otter Tail, Ottertail, Minnesota, US
Lake Portsmouth Pit, Crow Wing, Crosby, Minnesota, US
Lake Potato, Hubbard, Park Rapids, Minnesota, US
Lake Prairie, Itasca, Grand Rapids, Minnesota, US
Lake Prairie, Otter Tail, Pelican Lake, Minnesota, US
Lake Prairie, St. Louis, Floodwood, Minnesota, US
Lake Preston, Renville, Buffalo Lake, Minnesota, US
Lake Prior (Lower), Scott, Prior Lake, Minnesota, US
Lake Prior (Upper), Scott, Prior Lake, Minnesota, US
Lake Pulaski, Wright, Buffalo, Minnesota, US
Lake Rabbit, Aitkin, Glen, Minnesota, US
Lake Rabideau, Beltrami, Blackduck, Minnesota, US
Lake Rachel, Douglas, Holmes City, Minnesota, US
Lake Rainy, Koochiching, International Falls, Minnesota, US
Lake Ramsey, Wright, Maple Lake, Minnesota, US
Lake Rat, Aitkin, Palisade, Minnesota, US
Lake Rat Root, Koochiching, International Falls, Minnesota, US
Lake Razor, Pine, Cloverdale, Minnesota, US
Lake Red (Lower), Beltrami, Ponemah, Minnesota, US
Lake Red Rock, Douglas, Kensington, Minnesota, US
Lake Reeds, Waseca, Elysian, Minnesota, US
Lake Reno, Pope, Alexandria, Minnesota, US
Lake Reshanau, Anoka, Centerville, Minnesota, US
Lake Rhine, Pine, Finlayson, Minnesota, US
Lake Rice, Anoka, Lino Lakes, Minnesota, US
Lake Rice, Crow Wing, Brainerd, Minnesota, US
Lake Rice, Faribault, Wells, Minnesota, US
Lake Rice, Hennepin, Maple Grove, Minnesota, US
Lake Rice, Itasca, Grand Rapids, Minnesota, US
Lake Rice, Morrison, Little Falls, Minnesota, US
Lake Rice, Otter Tail, Vergas, Minnesota, US
Lake Rice, Stearns, Paynesville, Minnesota, US
Lake Rice, Wright, Clearwater, Minnesota, US
Lake Rice, Steele, Owatonna, Minnesota, US
Lake Riley, Carver, Chanhassen, Minnesota, US
Lake Ripley, Meeker, Litchfield, Minnesota, US
Lake Ripple, Aitkin, Aitkin, Minnesota, US
Lake Roberds, Rice, Shieldsville, Minnesota, US
Lake Rock, Aitkin, McGregor, Minnesota, US
Lake Rock, Becker, Detroit Lakes, Minnesota, US
Lake Rock, Lyon, Russell, Minnesota, US
Lake Rocky, St. Louis, Ely, Minnesota, US
Lake Rock, Pine, Minnesota, US
Lake Roosevelt, Cass, Outing, Minnesota, US
Lake Roosevelt, Crow Wing, Outing, Minnesota, US
Lake Rose, Otter Tail, Vergas, Minnesota, US
Lake Ross, Crow Wing, Emily, Minnesota, US
Lake Rossman, Becker, Lake Park, Minnesota, US
Lake Round, Aitkin, Tamarack, Minnesota, US
Lake Round, Aitkin, Aitkin, Minnesota, US
Lake Round, Aitkin, Garrison, Minnesota, US
Lake Round, Anoka, Anoka, Minnesota, US
Lake Round, Becker, Ponsford, Minnesota, US
Lake Round, Crow Wing, Nisswa, Minnesota, US
Lake Round, Itasca, Big Fork, Minnesota, US
Lake Round, Hennepin, Eden Prairie, Minnesota, US
Lake Round, Itasca, Squaw Lake, Minnesota, US
Lake Round, Jackson, Round Lake, Minnesota, US
Lake Round, Otter Tail, Ottertail, Minnesota, US
Lake Roy, Mahnomen, Zerkel, Minnesota, US
Lake Ruby, Itasca, Grand Rapids, Minnesota, US
Lake Rush, Jackson, Jackson, Minnesota, US
Lake Rush, Otter Tail, Ottertail, Minnesota, US
Lake Rush, Sherburne, Clear Lake, Minnesota, US
Lake Rush (East), Chisago, Rush City, Minnesota, US
Lake Rush (West), Chisago, Rush City, Minnesota, US
Lake Ruth, Crow Wing, Emily, Minnesota, US
Lake Sabin, St. Louis, Aurora, Minnesota, US
Lake Sabre, Lesueur, Cordova, Minnesota, US
Lake Saganaga, Cook, Grand Marais, Minnesota, US
Lake Sallie, Becker, Detroit Lakes, Minnesota, US
Lake Sand (Big), Cass, Remer, Minnesota, US
Lake Sand (Little), Cass, Remer, Minnesota, US
Lake Sand (Big), Hubbard, Dorset, Minnesota, US
Lake Sand (Little), Hubbard, Dorset, Minnesota, US
Lake Sand, Itasca, Squaw Lake, Minnesota, US
Lake Sand, Lake, Isabella, Minnesota, US
Lake Sand, Pine, Moose Lake, Minnesota, US
Lake Sand, St. Louis, Virginia, Minnesota, US
Lake Sand, Stearns, Albany, Minnesota, US
Lake Sand Hill, Polk, Fosston, Minnesota, US
Lake Sandy, Beltrami, Tenstrike, Minnesota, US
Lake Sarah, Hennepin, Rockford, Minnesota, US
Lake Sarah, Murray, Garvin, Minnesota, US
Lake Sarah, Polk, Erskine, Minnesota, US
Lake Sauer, Becker, Detroit Lakes, Minnesota, US
Lake Sauk (Big), Todd, Sauk Centre, Minnesota, US
Lake Sauk (Little), Todd, Sauk Centre, Minnesota, US
Lake Saunders, Hennepin, Mound, Minnesota, US
Lake Sawbill, Cook, Tofte, Minnesota, US
Lake Scalp, Otter Tail, Frazee, Minnesota, US
Lake Scandinavian, Pope, Terrace, Minnesota, US
Lake School Grave, Lyon, Cottonwood, Minnesota, US
Lake Schubert (East Bass), St. Louis, Cotton, Minnesota, US
Lake Schutz, Carver, Victoria, Minnesota, US
Lake Sea Gull, Cook, Grand Marais, Minnesota, US
Lake Serpent, Crow Wing, Deerwood, Minnesota, US
Lake Seventh Crow Wing, Hubbard, Nevis, Minnesota, US
Lake Sewell, Otter Tail, Dalton, Minnesota, US
Lake Shakopee, Mille Lacs, Onamia, Minnesota, US
Lake Shallow, Itasca, Warba, Minnesota, US
Lake Shaokotan, Lincoln, Ivanhoe, Minnesota, US
Lake Shell, Becker, Snellman, Minnesota, US
Lake Shetek, Murray, Currie, Minnesota, US
Lake Shible, Swift, Appleton, Minnesota, US
Lake Shields, Rice, Shieldsville, Minnesota, US
Lake Shoal, Itasca, Nashwauk, Minnesota, US
Lake Shoal, Itasca, Grand Rapids, Minnesota, US
Lake Side, St. Louis, Chisholm, Minnesota, US
Lake Silver, Clay, Hawley, Minnesota, US
Lake Silver, Otter Tail, Frazee, Minnesota, US
Lake Silver, Sibley, Arlington, Minnesota, US
Lake Silver Island, Lake, Isabella, Minnesota, US
Lake Siseebakwet (Sugar), Itasca, Grand Rapids, Minnesota, US
Lake Sissabagama, Aitkin, Aitkin, Minnesota, US
Lake Six Mile, Cass, Bena, Minnesota, US
Lake Sixth Crow Wing, Hubbard, Nevis, Minnesota, US
Lake Skogman, Isanti, Cambridge, Minnesota, US
Lake Slate, Lake, Isabella, Minnesota, US
Lake Sleepy Eye, Brown, Mankato, Minnesota, US
Lake Smith, Crow Wing, Garrison, Minnesota, US
Lake Smith, Douglas, Alexandria, Minnesota, US
Lake Smith, St. Louis, Brimson, Minnesota, US
Lake Snail, Ramsey, Shoreview, Minnesota, US
Lake Snider, Mahnomen, Nay-tah-waush, Minnesota, US
Lake Snowbank, Lake, Ely, Minnesota, US
Lake Somers, Wright, Maple Lake, Minnesota, US
Lake South Big Pine, Aitkin, Finlayson, Minnesota, US
Lake South Long (Lower), Crow Wing, Brainerd, Minnesota, US
Lake South Long (Upper), Crow Wing, Brainerd, Minnesota, US
Lake South Stake, Becker, Lake Park, Minnesota, US
Lake South Turtle, Otter Tail, Underwood, Minnesota, US
Lake South Twin, Mahnomen, Waubun, Minnesota, US
Lake South Walnut, Faribault, Wells, Minnesota, US
Lake Spectacle, Isanti, Cambridge, Minnesota, US
Lake Spellman, Yellow Medicine, Clarkfield, Minnesota, US
Lake Spider, Hubbard, Nevis, Minnesota, US
Lake Spider, Itasca, Marcell, Minnesota, US
Lake Spirit, Aitkin, Bennettville, Minnesota, US
Lake Spirit, Wadena, Menahga, Minnesota, US
Lake Spitzer, Otter Tail, Urbank, Minnesota, US
Lake Split Hand, Itasca, Grand Rapids, Minnesota, US
Lake Spoon, Lake, Winton, Minnesota, US
Lake Spoon, Ramsey, Maplewood, Minnesota, US
Lake Spring, Meeker, Dassel, Minnesota, US
Lake Spring, Polk, Lengby, Minnesota, US
Lake Spring, Scott, Prior Lake, Minnesota, US
Lake Spring, St. Louis, Crane Lake, Minnesota, US
Lake Square, Washington, Stillwater, Minnesota, US
Lake Stalker, Otter Tail, Underwood, Minnesota, US
Lake Star, Meeker, Litchfield, Minnesota, US
Lake Star, Otter Tail, Dent, Minnesota, US
Lake Stark, Crow Wing, Emily, Minnesota, US
Lake Stay, Lincoln, Arco, Minnesota, US
Lake Steamboat, Cass, Cass Lake, Minnesota, US
Lake Steep Bank, Lincoln, Hendricks, Minnesota, US
Lake Stella, Meeker, Darwin, Minnesota, US
Lake Stewart, Lake, Two Harbors, Minnesota, US
Lake Stingy, Itasca, Nashwauk, Minnesota, US
Lake Stinking, Becker, Lake Park, Minnesota, US
Lake Stocking, Wadena, Menahga, Minnesota, US
Lake Stone, St. Louis, Rollins, Minnesota, US
Lake Stony, Cass, Hackensack, Minnesota, US
Lake Stony, Lake, Isabella, Minnesota, US
Lake Stowe, Douglas, Brandon, Minnesota, US
Lake Straight, Becker, Osage, Minnesota, US
Lake Strawberry, Becker, White Earth, Minnesota, US
Lake Stuart, Otter Tail, Vining, Minnesota, US
Lake Sturgeon, Pine, Sturgeon Lake, Minnesota, US
Lake Sturgeon, St. Louis, Chisholm, Minnesota, US
Lake Sugar, Aitkin, Glen, Minnesota, US
Lake Sugar, Cass, Remer, Minnesota, US
Lake Sugar, Itasca, Cass Lake, Minnesota, US
Lake Sugar, Wright, Maple Lake, Minnesota, US
Lake Sugar Bush (Big), Becker, Richwood, Minnesota, US
Lake Sugar Bush (Little), Becker, Richwood, Minnesota, US
Lake Sullivan, Morrison, Harding, Minnesota, US
Lake Sunrise, Chisago, Lindstrom, Minnesota, US
Lake Sunset, Washington, White Bear Lake, Minnesota, US
Lake Superior, Cook, Duluth, Minnesota, US
Lake Swamp, Aitkin, Glen, Minnesota, US
Lake Swan, Itasca, Pengilly, Minnesota, US
Lake Swan, McLeod, Silver Lake, Minnesota, US
Lake Swan, Nicollet, Nicollet, Minnesota, US
